StageID,地圖名稱,怪物ID,怪物名稱,Pic,Lv,Type,終末樓層,代表X,代表Y,出生點數量,來源
1,山林地訓練營,5068,野豬,5063,1,0x00000080,,1503,1966,4,mpc
2,葬劍崖護法院,5067,狂猴,5012,1,0x00000080,,1210,859,5,mpc
3,黑水潭地龍穴,5069,蟾蜍,5064,1,0x00000040,,2662,1389,7,mpc
4,紫霞山養心觀,5066,山犬,5061,1,0x00000080,,1462,2293,4,mpc
5,踏雲頂梵天寺,5070,蜘蛛,5065,1,0x00000040,,768,3303,5,mpc
8,玄州城,5125,小夜叉奴隸,5049,20,0x00000004,,3310,3157,4,mpc
8,玄州城,5126,小夜叉士兵,5050,30,0x00000004,,2323,3126,4,mpc
8,玄州城,5127,小夜叉飛斧手,5051,30,0x00000004,,2964,3793,4,mpc
8,玄州城,5128,夜叉長矛手,5052,35,0x00000004,,1354,4239,2,mpc
8,玄州城,5129,夜叉刀斧手,5053,35,0x00000004,,1012,4177,1,mpc
8,玄州城,5131,夜叉王,5054,80,0x00000004,,1693,4272,1,mpc
9,入雲道,5005,野狼,5005,25,0x00000080,,2222,3600,2,mpc
9,入雲道,5006,雪狼,5006,35,0x00000080,,2446,3184,3,mpc
9,入雲道,5007,劍齒狼,5007,40,0x00000080,,2318,3603,3,mpc
9,入雲道,5012,黑狂猴,5062,15,0x00000080,,800,2639,2,mpc
9,入雲道,5013,狂猴王,5013,35,0x00000080,,700,2712,1,mpc
9,入雲道,5014,白毛巨猿,5014,40,0x00000080,,3206,1486,2,mpc
9,入雲道,5025,石怪,5025,40,0x00000010,,559,3074,2,mpc
9,入雲道,5057,金石怪,5057,60,0x00000010,,1070,3143,2,mpc
10,塞北關,5001,惡犬,5001,15,0x00000080,,2068,2765,4,mpc
10,塞北關,5002,狂犬,5002,20,0x00000080,,1844,2989,3,mpc
10,塞北關,5005,野狼,5005,25,0x00000080,,698,2155,2,mpc
10,塞北關,5006,雪狼,5006,35,0x00000080,,526,3024,3,mpc
10,塞北關,5007,劍齒狼,5007,40,0x00000080,,486,2198,2,mpc
10,塞北關,5033,飛賊,5033,30,0x00000002,,2568,3162,2,mpc
10,塞北關,5034,山賊,5034,30,0x00000002,,1644,4682,3,mpc
10,塞北關,5035,山賊頭目,5035,50,0x00000002,,1666,4590,2,mpc
10,塞北關,5036,山寨大王,5036,50,0x00000002,,1715,4649,1,mpc
10,塞北關,5121,纏身厲鬼,5037,30,0x00000008,,441,4076,1,mpc
10,塞北關,5158,小氣刺客,5122,45,0x00000002,,3257,3628,1,mpc
10,塞北關,5207,阿豹,6006,40,0x00000002,,2969,140,1,mpc
10,塞北關,15987,罣基妖犬,5929,125,0x00000020,,2470,2469,6,mpc
11,惡狼林,5005,野狼,5005,25,0x00000080,,4009,2036,19,mpc
11,惡狼林,5006,雪狼,5006,35,0x00000080,,3502,2704,2,mpc
11,惡狼林,5007,劍齒狼,5007,40,0x00000080,,1275,2259,2,mpc
11,惡狼林,5010,山豬,5010,15,0x00000080,,895,3503,4,mpc
11,惡狼林,5011,大山豬,5011,40,0x00000080,,1549,1298,2,mpc
11,惡狼林,5026,樹精,5026,40,0x00000010,,383,370,2,mpc
11,惡狼林,5058,老樹精,5058,60,0x00000010,,4044,1251,2,mpc
11,惡狼林,5066,山犬,5061,1,0x00000080,,6393,4780,1,mpc
11,惡狼林,5088,埋伏官差,6020,30,0x00000002,,5995,289,1,mpc
11,惡狼林,5144,鏢局成員,6008,30,0x00000002,,825,3404,1,mpc
11,惡狼林,5145,闇盟成員,6009,30,0x00000002,,1081,2668,1,mpc
11,惡狼林,5151,看門打手,6036,20,0x00000002,,6105,3724,1,mpc
11,惡狼林,5152,左右打手,6035,30,0x00000002,,6137,3468,2,mpc
11,惡狼林,5153,幕後首腦,5123,50,0x00000002,,6233,3500,1,mpc
11,惡狼林,5156,黃大官人,6017,15,0x00000002,,569,1836,1,mpc
11,惡狼林,5157,便衣隨扈,5119,45,0x00000002,,635,1776,2,mpc
12,古皇陵近郊,5001,惡犬,5001,15,0x00000080,,2474,378,3,mpc
12,古皇陵近郊,5002,狂犬,5002,20,0x00000080,,4914,1724,2,mpc
12,古皇陵近郊,5010,山豬,5010,15,0x00000080,,7813,4055,9,mpc
12,古皇陵近郊,5011,大山豬,5011,40,0x00000080,,3855,3027,2,mpc
