repo,stageId,stageName,npcId,npcName,shopId,reason,coordX,coordY
leonmax78-test,196,九曲邪徑,8979,四海術士,911,manual-special,254,222
leonmax78-test,196,九曲邪徑,8952,義軍收藏家,845,manual-special,283,212
leonmax78-test,207,吐蕃集鎮,8989,藏族馴獸商人,900,talk-249001,324,225
leonmax78-test,207,吐蕃集鎮,8988,高原收藏家,845,talk-249003,329,213
leonmax78-test,217,波斯西市,11091,神秘收藏家,845,talk-251001,120,20
leonmax78-test,217,波斯西市,11088,馴獸用品商,900,name-pet-shop,55,40
leonmax78-test,232,靜默之丘,11183,西歐收藏家,845,talk-254001,252,288
leonmax78-test,232,靜默之丘,11180,馴獸用品商,900,talk-254015,282,279
leonmax78-test,243,浮世夢鄉,11281,九天珍寶仙人,891,manual-special,157,188
leonmax78-test,243,浮世夢鄉,11261,仙頂收藏家,845,talk-257001,336,139
leonmax78-test,243,浮世夢鄉,11258,馴獸用品商,900,talk-257015,405,196
leonmax78-test,243,浮世夢鄉,11273,主事翰文卿,890,manual-special,322,94
leonmax78-test,252,四聖祭台,11261,仙頂收藏家,845,talk-257001,93,121
leonmax78-test,279,星群碎道,11261,仙頂收藏家,845,talk-257001,444,122
leonmax78-test,279,星群碎道,11436,虛空龍主,893,manual-special,534,126
leonmax78-test,284,終末之塔Ⅰ,11440,主宰化體,895,manual-special,89,492
leonmax78-test,304,王都盧索,11535,艾濟收藏家,845,talk-236350,464,316
leonmax78-test,304,王都盧索,11532,馴獸用具商,900,talk-236364,451,310
leonmax78-test,314,溥山新郡,11650,太極收藏家,845,talk-202109,90,206
leonmax78-test,314,溥山新郡,11647,封獸用具商,900,talk-202116,60,196
leonmax78-test,320,璇鶯鎮,11730,南遼收藏家,845,talk-241468,34,264
leonmax78-test,320,璇鶯鎮,11727,封獸用具商,900,name-pet-shop,79,253
leonmax78-test,333,泰源大社,11811,封獸用具商,900,talk-226996,78,204
leonmax78-test,333,泰源大社,11814,泰源收藏家,845,talk-226989,88,252
leonmax78-test,347,終末之塔ⅩⅦ,11440,主宰化體,895,manual-special,87,61
leonmax78-test,365,龍池大社,11885,封獸用品商,900,talk-255416,50,154
leonmax78-test,365,龍池大社,11888,龍池收藏家,845,talk-255409,20,164
leonmax78-test,384,龍川府,12038,馴獸用品商,900,talk-217215,240,302
leonmax78-test,384,龍川府,12041,龍川收藏家,845,talk-217201,196,330
