檔案,類型,記錄Key,名稱,欄位,舊值,新值
BODYWND.INI,added,6188,,,,ID=6188
BODYWND.INI,added,6193,,,,ID=6193
BODYWND.INI,added,6197,,,,ID=6197
BODYWND.INI,added,6202,,,,ID=6202
BODYWND.INI,added,6190,,,,ID=6190
BODYWND.INI,added,6199,,,,ID=6199
BODYWND.INI,added,6186,,,,ID=6186
BODYWND.INI,added,6200,,,,ID=6200
BODYWND.INI,added,6189,,,,ID=6189
BODYWND.INI,added,6198,,,,ID=6198
BODYWND.INI,added,6194,,,,ID=6194
BODYWND.INI,added,6195,,,,ID=6195
BODYWND.INI,added,6191,,,,ID=6191
BODYWND.INI,added,6201,,,,ID=6201
BODYWND.INI,added,6187,,,,ID=6187
BODYWND.INI,added,6185,,,,ID=6185
BODYWND.INI,added,6192,,,,ID=6192
BODYWND.INI,added,6196,,,,ID=6196
CHANGEBODYITEM.INI,added,63,鐵心蘭,,,"ID=63, Name=鐵心蘭, Head=6187, Icon=21706"
CHANGEBODYITEM.INI,added,61,江小魚,,,"ID=61, Name=江小魚, Head=6185, Icon=21702"
CHANGEBODYITEM.INI,added,69,？？？,,,"ID=69, Name=？？？, Head=6076, Icon=21805"
CHANGEBODYITEM.INI,added,64,？？？,,,"ID=64, Name=？？？, Head=6076, Icon=21704"
CHANGEBODYITEM.INI,added,71,？？？,,,"ID=71, Name=？？？, Head=6076, Icon=21806"
CHANGEBODYITEM.INI,added,65,？？？,,,"ID=65, Name=？？？, Head=6076, Icon=21705"
CHANGEBODYITEM.INI,added,68,？？？,,,"ID=68, Name=？？？, Head=6076, Icon=21700"
CHANGEBODYITEM.INI,added,70,？？？,,,"ID=70, Name=？？？, Head=6076, Icon=21804"
CHANGEBODYITEM.INI,added,67,？？？,,,"ID=67, Name=？？？, Head=6076, Icon=21708"
CHANGEBODYITEM.INI,added,62,花無缺,,,"ID=62, Name=花無缺, Head=6186, Icon=21703"
CHANGEBODYITEM.INI,added,66,燕南天,,,"ID=66, Name=燕南天, Head=6190, Icon=21701"
EXCHANGE.INI,added,3447,羡燙香魚丸,,,"ID=3447, Name=羡燙香魚丸, Group=209"
EXCHANGE.INI,added,3448,海南雙饗鮑,,,"ID=3448, Name=海南雙饗鮑, Group=209"
EXCHANGE.INI,changed,3314,戰煌鎧☆☆☆,Material1,28866,28860
EXCHANGE.INI,changed,3314,戰煌鎧☆☆☆,Name,道煌袍☆☆☆,戰煌鎧☆☆☆
EXCHANGE.INI,changed,3314,戰煌鎧☆☆☆,Reward1,28867,28861
EXCHANGE.INI,changed,850,千年一擊，消光,Material1,29634,29632
EXCHANGE.INI,changed,850,千年一擊，消光,Name,無聲之狂，消光,千年一擊，消光
EXCHANGE.INI,changed,850,千年一擊，消光,Reward1,29625,29623
EXCHANGE.INI,changed,3155,拆解：星兇靴★★★,Material1,28546,28540
EXCHANGE.INI,changed,3155,拆解：星兇靴★★★,Name,拆解：煌天衣★★★,拆解：星兇靴★★★
EXCHANGE.INI,changed,1315,拆解：羅將烈槍Ⅰ,Material1,31136,31126
EXCHANGE.INI,changed,1315,拆解：羅將烈槍Ⅰ,Name,拆解：破魔獨錘Ⅰ,拆解：羅將烈槍Ⅰ
EXCHANGE.INI,changed,1074,秘笈：電掣星馳,Name,秘笈：洪荒禁窮獄,秘笈：電掣星馳
EXCHANGE.INI,changed,1074,秘笈：電掣星馳,Reward1,31538,31536
EXCHANGE.INI,changed,2560,秘笈：天地無聲勢,Name,秘笈：太白仙跡,秘笈：天地無聲勢
EXCHANGE.INI,changed,2560,秘笈：天地無聲勢,Reward1,31826,31816
EXCHANGE.INI,changed,2147,禪帝頂★★,Material1,29441,29429
EXCHANGE.INI,changed,2147,禪帝頂★★,Name,武帝胄★★,禪帝頂★★
EXCHANGE.INI,changed,2147,禪帝頂★★,Reward1,29442,29430
EXCHANGE.INI,changed,3429,拆解：柳韋足☆☆☆,Material1,28980,28974
EXCHANGE.INI,changed,3429,拆解：柳韋足☆☆☆,Name,拆解：碧行裟☆☆☆,拆解：柳韋足☆☆☆
EXCHANGE.INI,changed,3440,香酥烤燒餅,Material1Count,1,2
EXCHANGE.INI,changed,3440,香酥烤燒餅,Name,山蒼子燉鍋,香酥烤燒餅
EXCHANGE.INI,changed,3440,香酥烤燒餅,Reward1,30751,31589
EXCHANGE.INI,changed,1518,拆解：寂禪若持Ⅲ,Material1,31233,31223
EXCHANGE.INI,changed,1518,拆解：寂禪若持Ⅲ,Name,拆解：天衛宙脛Ⅲ,拆解：寂禪若持Ⅲ
EXCHANGE.INI,changed,2369,拆解：武帝盔★★☆,Material1,29425,29413
EXCHANGE.INI,changed,2369,拆解：武帝盔★★☆,Name,拆解：道帝簪★★☆,拆解：武帝盔★★☆
EXCHANGE.INI,changed,1699,勇將旭掌Ⅱ,Material1,30316,30306
EXCHANGE.INI,changed,1699,勇將旭掌Ⅱ,Name,道清旭袖Ⅱ,勇將旭掌Ⅱ
EXCHANGE.INI,changed,1699,勇將旭掌Ⅱ,Reward1,30317,30307
EXCHANGE.INI,changed,2521,高音泡菜月餅,Name,清音抹茶月餅,高音泡菜月餅
EXCHANGE.INI,changed,2521,高音泡菜月餅,Reward1,31803,31801
EXCHANGE.INI,changed,3187,進化→佛煌纏☆,Material1,28429,28423
EXCHANGE.INI,changed,3187,進化→佛煌纏☆,Name,進化→戰煌脛☆,進化→佛煌纏☆
EXCHANGE.INI,changed,3187,進化→佛煌纏☆,Reward1,28889,28883
EXCHANGE.INI,changed,2456,觀音杵,Name,斧〔魔神破〕,觀音杵
EXCHANGE.INI,changed,2456,觀音杵,Reward1,31560,31558
EXCHANGE.INI,changed,3039,鬥星盔★★★,Material1,28389,28383
EXCHANGE.INI,changed,3039,鬥星盔★★★,Name,星蹤綸★★★,鬥星盔★★★
EXCHANGE.INI,changed,3039,鬥星盔★★★,Reward1,28390,28384
EXCHANGE.INI,changed,1087,武魂：劉備,Name,武魂：張飛,武魂：劉備
EXCHANGE.INI,changed,1087,武魂：劉備,Reward1,30834,30832
EXCHANGE.INI,changed,1529,拆解：騰陽雄鎧Ⅲ,Material1,31288,31278
EXCHANGE.INI,changed,1529,拆解：騰陽雄鎧Ⅲ,Name,拆解：騰陽巍立Ⅲ,拆解：騰陽雄鎧Ⅲ
EXCHANGE.INI,changed,3121,拆解：衡星斗★★★,Material1,28366,28360
EXCHANGE.INI,changed,3121,拆解：衡星斗★★★,Name,拆解：商宿槍★★★,拆解：衡星斗★★★
EXCHANGE.INI,changed,798,拆解：陀羅仙劍印,Material1,29258,29267
EXCHANGE.INI,changed,798,拆解：陀羅仙劍印,Name,拆解：鋼體仙狼牙,拆解：陀羅仙劍印
EXCHANGE.INI,changed,3064,星兇手★★★,Material1,28542,28536
EXCHANGE.INI,changed,3064,星兇手★★★,Name,煌月巾★★★,星兇手★★★
EXCHANGE.INI,changed,3064,星兇手★★★,Reward1,28543,28537
EXCHANGE.INI,changed,1645,拆解：辰道玄冠Ⅴ,Material1,31180,31170
EXCHANGE.INI,changed,1645,拆解：辰道玄冠Ⅴ,Name,拆解：宇鋒颯衣Ⅴ,拆解：辰道玄冠Ⅴ
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material1,29664,29921
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material2,29053,29272
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material2Count,200,50
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material3,26368,29273
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material3Count,200,100
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material4,,26368
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Material4Count,,200
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Name,龍熙軒轅劍，開光,尼師今尊斧，消光
EXCHANGE.INI,changed,989,尼師今尊斧，消光,Reward1,29654,29931
EXCHANGE.INI,changed,3011,拆解：星蹤履★,Material1,28439,28433
EXCHANGE.INI,changed,3011,拆解：星蹤履★,Name,拆解：星龍珠★,拆解：星蹤履★
EXCHANGE.INI,changed,2001,拆解：皇麟扇☆,Material1,29373,29361
EXCHANGE.INI,changed,2001,拆解：皇麟扇☆,Name,拆解：權霸槍☆,拆解：皇麟扇☆
EXCHANGE.INI,changed,899,神州真勁跑鞋,Group,45,44
EXCHANGE.INI,changed,899,神州真勁跑鞋,Material1,21404,29201
EXCHANGE.INI,changed,899,神州真勁跑鞋,Material1Count,4,3
EXCHANGE.INI,changed,899,神州真勁跑鞋,Material2,,29272
EXCHANGE.INI,changed,899,神州真勁跑鞋,Material2Count,,30
EXCHANGE.INI,changed,899,神州真勁跑鞋,Name,怪物大王石牌,神州真勁跑鞋
EXCHANGE.INI,changed,899,神州真勁跑鞋,Reward1,21405,29784
EXCHANGE.INI,changed,2515,極．旭品特仕裝箱,Material1Count,200,600
EXCHANGE.INI,changed,2515,極．旭品特仕裝箱,Name,極．旭品武防綢袋,極．旭品特仕裝箱
EXCHANGE.INI,changed,2515,極．旭品特仕裝箱,Reward1,30459,30466
EXCHANGE.INI,changed,2844,秘笈：笑盡英雄,Material1,29644,29642
EXCHANGE.INI,changed,2844,秘笈：笑盡英雄,Name,秘笈：天關雙煉,秘笈：笑盡英雄
EXCHANGE.INI,changed,1621,拆解：騰陽雄鎧Ⅳ,Material1,31289,31279
EXCHANGE.INI,changed,1621,拆解：騰陽雄鎧Ⅳ,Name,拆解：騰陽巍立Ⅳ,拆解：騰陽雄鎧Ⅳ
EXCHANGE.INI,changed,3264,拆解：戰煌盔☆,Material1,28850,28844
EXCHANGE.INI,changed,3264,拆解：戰煌盔☆,Name,拆解：道煌面☆,拆解：戰煌盔☆
EXCHANGE.INI,changed,3402,拆解：佛煌頂☆☆☆,Material1,28861,28855
EXCHANGE.INI,changed,3402,拆解：佛煌頂☆☆☆,Name,拆解：戰煌鎧☆☆☆,拆解：佛煌頂☆☆☆
EXCHANGE.INI,changed,786,拆解：坤地仙太極,Material1,29707,29724
EXCHANGE.INI,changed,786,拆解：坤地仙太極,Name,拆解：魔土仙法陣,拆解：坤地仙太極
EXCHANGE.INI,changed,1662,拆解：諾亞航令Ⅴ,Material1,31265,31255
EXCHANGE.INI,changed,1662,拆解：諾亞航令Ⅴ,Name,拆解：獨眼慧珠Ⅴ,拆解：諾亞航令Ⅴ
EXCHANGE.INI,changed,1300,騰陽烈釬Ⅱ,Material1,31291,31281
EXCHANGE.INI,changed,1300,騰陽烈釬Ⅱ,Name,凜月冪巾Ⅱ,騰陽烈釬Ⅱ
EXCHANGE.INI,changed,1300,騰陽烈釬Ⅱ,Reward1,31292,31282
EXCHANGE.INI,changed,1307,舞星鈦甲Ⅱ,Material1,31326,31316
EXCHANGE.INI,changed,1307,舞星鈦甲Ⅱ,Name,舞星鋁行Ⅱ,舞星鈦甲Ⅱ
EXCHANGE.INI,changed,1307,舞星鈦甲Ⅱ,Reward1,31327,31317
EXCHANGE.INI,changed,2135,龍掣爪★★,Material1,29369,29357
EXCHANGE.INI,changed,2135,龍掣爪★★,Name,御天杖★★,龍掣爪★★
EXCHANGE.INI,changed,2135,龍掣爪★★,Reward1,29370,29358
EXCHANGE.INI,changed,999,商紂暴政斧，開光,Material1,29654,29672
EXCHANGE.INI,changed,999,商紂暴政斧，開光,Name,龍熙軒轅劍，消光,商紂暴政斧，開光
EXCHANGE.INI,changed,999,商紂暴政斧，開光,Reward1,29664,29662
EXCHANGE.INI,changed,2328,劍帝服★★★,Material1,29449,29437
EXCHANGE.INI,changed,2328,劍帝服★★★,Name,幻帝裘★★★,劍帝服★★★
EXCHANGE.INI,changed,2328,劍帝服★★★,Reward1,29450,29438
EXCHANGE.INI,changed,1148,真．玄宙神兵寶箱,Material1Count,300,350
EXCHANGE.INI,changed,1148,真．玄宙神兵寶箱,Name,真．玄宙勇裝錦囊,真．玄宙神兵寶箱
EXCHANGE.INI,changed,1148,真．玄宙神兵寶箱,Reward1,31345,31343
EXCHANGE.INI,changed,2140,界王錘★★,Material1,29399,29387
EXCHANGE.INI,changed,2140,界王錘★★,Name,疆嶽盾★★,界王錘★★
EXCHANGE.INI,changed,2140,界王錘★★,Reward1,29400,29388
EXCHANGE.INI,changed,1054,武魂：凜雪鴉,Name,武魂：浪巫謠,武魂：凜雪鴉
EXCHANGE.INI,changed,1054,武魂：凜雪鴉,Reward1,30827,30825
EXCHANGE.INI,changed,1591,拆解：羅將烈槍Ⅳ,Material1,31139,31129
EXCHANGE.INI,changed,1591,拆解：羅將烈槍Ⅳ,Name,拆解：破魔獨錘Ⅳ,拆解：羅將烈槍Ⅳ
EXCHANGE.INI,changed,3109,拆解：星兇手★★,Material1,28542,28536
EXCHANGE.INI,changed,3109,拆解：星兇手★★,Name,拆解：煌月巾★★,拆解：星兇手★★
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Group,82,81
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Material1,31103,31323
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Material1Count,1,3
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Material2,,30673
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Material2Count,,40
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Name,拆解：宮殤別劍Ⅲ,舞星鎢掌Ⅳ
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Reward1,29272,31324
EXCHANGE.INI,changed,1492,舞星鎢掌Ⅳ,Reward1Count,40,1
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Group,67,66
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Material1,31106,24296
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Material1Count,3,1
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Material2,29272,
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Material2Count,150,
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Name,泰源玉刀Ⅱ,真宗白符轉修羅戰符
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Reward1,31107,24298
EXCHANGE.INI,changed,1263,真宗白符轉修羅戰符,Reward1Count,1,5
EXCHANGE.INI,changed,1367,天衛宙盔Ⅲ,Material1,31167,31157
EXCHANGE.INI,changed,1367,天衛宙盔Ⅲ,Name,辰道玄冠Ⅲ,天衛宙盔Ⅲ
EXCHANGE.INI,changed,1367,天衛宙盔Ⅲ,Reward1,31168,31158
EXCHANGE.INI,changed,2429,拆解：武帝踏★★★,Material1,29516,29504
EXCHANGE.INI,changed,2429,拆解：武帝踏★★★,Name,拆解：道帝行★★★,拆解：武帝踏★★★
EXCHANGE.INI,changed,1319,拆解：古主臨盾Ⅰ,Group,71,70
EXCHANGE.INI,changed,1319,拆解：古主臨盾Ⅰ,Material1,31156,31146
EXCHANGE.INI,changed,1319,拆解：古主臨盾Ⅰ,Name,拆解：天衛宙盔Ⅰ,拆解：古主臨盾Ⅰ
EXCHANGE.INI,changed,1319,拆解：古主臨盾Ⅰ,Reward1,29273,29272
EXCHANGE.INI,changed,748,拆解：光武仙宮幃,Material1,30972,29678
EXCHANGE.INI,changed,748,拆解：光武仙宮幃,Name,拆解：丹田仙引芯,拆解：光武仙宮幃
EXCHANGE.INI,changed,748,拆解：光武仙宮幃,Reward1Count,20,10
EXCHANGE.INI,changed,1080,降神：凜雪鴉之魂,Name,降神：浪巫謠之魂,降神：凜雪鴉之魂
EXCHANGE.INI,changed,1080,降神：凜雪鴉之魂,Reward1,31503,31501
EXCHANGE.INI,changed,2015,拆解：幻帝裘☆,Material1,29457,29445
EXCHANGE.INI,changed,2015,拆解：幻帝裘☆,Name,拆解：禪帝衲☆,拆解：幻帝裘☆
EXCHANGE.INI,changed,854,刁刀，消光,Material1,29778,29717
EXCHANGE.INI,changed,854,刁刀，消光,Name,如是我斬燄霞，消光,刁刀，消光
EXCHANGE.INI,changed,854,刁刀，消光,Reward1,29775,29715
EXCHANGE.INI,changed,2403,拆解：帝詔劍★★★,Material1,29360,29348
EXCHANGE.INI,changed,2403,拆解：帝詔劍★★★,Name,拆解：龍掣爪★★★,拆解：帝詔劍★★★
EXCHANGE.INI,changed,2069,武帝踏★☆,Material1,29512,29500
EXCHANGE.INI,changed,2069,武帝踏★☆,Name,道帝行★☆,武帝踏★☆
EXCHANGE.INI,changed,2069,武帝踏★☆,Reward1,29513,29501
EXCHANGE.INI,changed,2772,武魂：葉小釵,Material1Count,100,200
EXCHANGE.INI,changed,2772,武魂：葉小釵,Name,滄耳刀,武魂：葉小釵
EXCHANGE.INI,changed,2772,武魂：葉小釵,Reward1,29627,23072
EXCHANGE.INI,changed,1162,超．玄宙神兵寶箱,Material1Count,1200,1500
EXCHANGE.INI,changed,1162,超．玄宙神兵寶箱,Name,超．玄宙勇裝錦囊,超．玄宙神兵寶箱
EXCHANGE.INI,changed,1162,超．玄宙神兵寶箱,Reward1,31356,31354
EXCHANGE.INI,changed,1948,進化→黃鳴腕☆,Material1,28977,28971
EXCHANGE.INI,changed,1948,進化→黃鳴腕☆,Name,進化→皇影甲☆,進化→黃鳴腕☆
EXCHANGE.INI,changed,1948,進化→黃鳴腕☆,Reward1,29595,29583
EXCHANGE.INI,changed,3230,燦煌掌☆☆,Material1,28883,28877
EXCHANGE.INI,changed,3230,燦煌掌☆☆,Name,佛煌纏☆☆,燦煌掌☆☆
EXCHANGE.INI,changed,3230,燦煌掌☆☆,Reward1,28884,28878
EXCHANGE.INI,changed,1909,進化→君諭刀☆,Material1,28822,28816
EXCHANGE.INI,changed,1909,進化→君諭刀☆,Name,進化→皇麟扇☆,進化→君諭刀☆
EXCHANGE.INI,changed,1909,進化→君諭刀☆,Reward1,29361,29349
EXCHANGE.INI,changed,1107,拆解：新星之術潛紗,Material1,27288,27286
EXCHANGE.INI,changed,1107,拆解：新星之術潛紗,Name,拆解：新星之禪照帽,拆解：新星之術潛紗
EXCHANGE.INI,changed,2736,極．玄宙勇裝錦囊,Name,極．玄宙道裝錦囊,極．玄宙勇裝錦囊
EXCHANGE.INI,changed,2736,極．玄宙勇裝錦囊,Reward1,31369,31367
EXCHANGE.INI,changed,1092,武魂：劉備,Name,武魂：張飛,武魂：劉備
EXCHANGE.INI,changed,1092,武魂：劉備,Reward1,30834,30832
EXCHANGE.INI,changed,1395,凜月霜襟Ⅲ,Material1,31307,31297
EXCHANGE.INI,changed,1395,凜月霜襟Ⅲ,Name,凜月漪纏Ⅲ,凜月霜襟Ⅲ
EXCHANGE.INI,changed,1395,凜月霜襟Ⅲ,Reward1,31308,31298
EXCHANGE.INI,changed,2137,御天杖★★,Material1,29381,29369
EXCHANGE.INI,changed,2137,御天杖★★,Name,傾城棍★★,御天杖★★
EXCHANGE.INI,changed,2137,御天杖★★,Reward1,29382,29370
EXCHANGE.INI,changed,2197,拆解：禪帝衲★☆,Material1,29471,29459
EXCHANGE.INI,changed,2197,拆解：禪帝衲★☆,Name,拆解：武帝掌★☆,拆解：禪帝衲★☆
EXCHANGE.INI,changed,2452,火神砲,Name,沉思之杖,火神砲
EXCHANGE.INI,changed,2452,火神砲,Reward1,31556,31554
EXCHANGE.INI,changed,3016,拆解：星玄卦★,Group,181,180
EXCHANGE.INI,changed,3016,拆解：星玄卦★,Material1,28532,28448
EXCHANGE.INI,changed,3016,拆解：星玄卦★,Name,拆解：星兇鎧★,拆解：星玄卦★
EXCHANGE.INI,changed,3016,拆解：星玄卦★,Reward1Count,9,1
EXCHANGE.INI,changed,1550,宇鋒颺頂Ⅴ,Material1,31164,31154
EXCHANGE.INI,changed,1550,宇鋒颺頂Ⅴ,Name,光術覆面Ⅴ,宇鋒颺頂Ⅴ
EXCHANGE.INI,changed,1550,宇鋒颺頂Ⅴ,Reward1,31165,31155
EXCHANGE.INI,changed,1229,超天神符咒,Name,超天師符咒,超天神符咒
EXCHANGE.INI,changed,1229,超天神符咒,Reward1,27890,27888
EXCHANGE.INI,changed,1913,進化→權霸槍☆,Material1,28834,28828
EXCHANGE.INI,changed,1913,進化→權霸槍☆,Name,進化→界王錘☆,進化→權霸槍☆
EXCHANGE.INI,changed,1913,進化→權霸槍☆,Reward1,29385,29373
EXCHANGE.INI,changed,2969,星虎披★★,Material1,28448,28442
EXCHANGE.INI,changed,2969,星虎披★★,Name,星玄卦★★,星虎披★★
EXCHANGE.INI,changed,2969,星虎披★★,Reward1,28449,28443
EXCHANGE.INI,changed,1111,拆解：新星之武豪鎧,Material1,27307,27305
EXCHANGE.INI,changed,1111,拆解：新星之武豪鎧,Name,拆解：新星之道明服,拆解：新星之武豪鎧
EXCHANGE.INI,changed,2728,神．玄宙劍裝錦囊,Name,神．玄宙術裝錦囊,神．玄宙劍裝錦囊
EXCHANGE.INI,changed,2728,神．玄宙劍裝錦囊,Reward1,31379,31377
EXCHANGE.INI,changed,1455,破魔獨錘Ⅳ,Material1,31148,31138
EXCHANGE.INI,changed,1455,破魔獨錘Ⅳ,Name,古主臨盾Ⅳ,破魔獨錘Ⅳ
EXCHANGE.INI,changed,1455,破魔獨錘Ⅳ,Reward1,31149,31139
